AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
Alaska Airlines Inc.,LAS,"Las Vegas, NV",ANC,"Anchorage, AK",2304.0
SkyWest Airlines Inc.,MEM,"Memphis, TN",DTW,"Detroit, MI",610.0
American Airlines Inc.,DCA,"Washington, DC",LAS,"Las Vegas, NV",2089.0
Alaska Airlines Inc.,KTN,"Ketchikan, AK",SIT,"Sitka, AK",183.0
JetBlue Airways,BUF,"Buffalo, NY",BOS,"Boston, MA",395.0
Southwest Airlines Co.,ISP,"Islip, NY",BWI,"Baltimore, MD",220.0
JetBlue Airways,SFO,"San Francisco, CA",FLL,"Fort Lauderdale, FL",2584.0
Allegiant Air,LCK,"Columbus, OH",SFB,"Sanford, FL",767.0
Southwest Airlines Co.,CMH,"Columbus, OH",LAS,"Las Vegas, NV",1771.0
SkyWest Airlines Inc.,MHT,"Manchester, NH",ORD,"Chicago, IL",843.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",ACT,"Waco, TX",89.0
Envoy Air,ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL",654.0
United Air Lines Inc.,BTV,"Burlington, VT",DEN,"Denver, CO",1639.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",TYS,"Knoxville, TN",771.0
ExpressJet Airlines LLC d/b/a aha!,VPS,"Valparaiso, FL",IAH,"Houston, TX",528.0
Frontier Airlines Inc.,MEM,"Memphis, TN",MCO,"Orlando, FL",684.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",GRI,"Grand Island, NE",561.0
Allegiant Air,SFB,"Sanford, FL",PIT,"Pittsburgh, PA",809.0
Southwest Airlines Co.,SJU,"San Juan, PR",MDW,"Chicago, IL",2057.0
Southwest Airlines Co.,BWI,"Baltimore, MD",HOU,"Houston, TX",1246.0
Southwest Airlines Co.,BWI,"Baltimore, MD",PVD,"Providence, RI",327.0
SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX",TRI,"Bristol/Johnson City/Kingsport, TN",868.0
SkyWest Airlines Inc.,RKS,"Rock Springs, WY",DEN,"Denver, CO",260.0
SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX",SHV,"Shreveport, LA",190.0
Mesa Airlines Inc.,IAH,"Houston, TX",MCI,"Kansas City, MO",643.0
Southwest Airlines Co.,OAK,"Oakland, CA",LIH,"Lihue, HI",2457.0
Southwest Airlines Co.,HOU,"Houston, TX",LGA,"New York, NY",1428.0
Endeavor Air Inc.,MSP,"Minneapolis, MN",CWA,"Mosinee, WI",175.0
Envoy Air,MIA,"Miami, FL",BHM,"Birmingham, AL",661.0
Endeavor Air Inc.,MLI,"Moline, IL",MSP,"Minneapolis, MN",274.0
Spirit Air Lines,BDL,"Hartford, CT",FLL,"Fort Lauderdale, FL",1173.0
Envoy Air,GCK,"Garden City, KS",DFW,"Dallas/Fort Worth, TX",404.0
Delta Air Lines Inc.,SNA,"Santa Ana, CA",MSP,"Minneapolis, MN",1522.0
American Airlines Inc.,SAT,"San Antonio, TX",CLT,"Charlotte, NC",1095.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",MKE,"Milwaukee, WI",853.0
Endeavor Air Inc.,ATL,"Atlanta, GA",DHN,"Dothan, AL",170.0
SkyWest Airlines Inc.,SAN,"San Diego, CA",RDM,"Bend/Redmond, OR",823.0
Southwest Airlines Co.,BNA,"Nashville, TN",CMH,"Columbus, OH",337.0
SkyWest Airlines Inc.,LWS,"Lewiston, ID",SLC,"Salt Lake City, UT",461.0
PSA Airlines Inc.,CLT,"Charlotte, NC",LEX,"Lexington, KY",281.0
United Air Lines Inc.,IAH,"Houston, TX",SJU,"San Juan, PR",2007.0
Allegiant Air,CVG,"Cincinnati, OH",MSY,"New Orleans, LA",701.0
Allegiant Air,DSM,"Des Moines, IA",VPS,"Valparaiso, FL",860.0
Southwest Airlines Co.,MKE,"Milwaukee, WI",LAX,"Los Angeles, CA",1756.0
Endeavor Air Inc.,DCA,"Washington, DC",RDU,"Raleigh/Durham, NC",227.0
JetBlue Airways,LGB,"Long Beach, CA",JFK,"New York, NY",2465.0
United Air Lines Inc.,SAN,"San Diego, CA",IAD,"Washington, DC",2253.0
Horizon Air,BLI,"Bellingham, WA",SEA,"Seattle, WA",93.0
Alaska Airlines Inc.,SCC,"Deadhorse, AK",FAI,"Fairbanks, AK",373.0
Delta Air Lines Inc.,PVD,"Providence, RI",DTW,"Detroit, MI",615.0
United Air Lines Inc.,IAH,"Houston, TX",JAX,"Jacksonville, FL",817.0
United Air Lines Inc.,SYR,"Syracuse, NY",IAD,"Washington, DC",296.0
Southwest Airlines Co.,MDW,"Chicago, IL",MEM,"Memphis, TN",480.0
SkyWest Airlines Inc.,MRY,"Monterey, CA",LAX,"Los Angeles, CA",266.0
Frontier Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL",TTN,"Trenton, NJ",985.0
Southwest Airlines Co.,ABQ,"Albuquerque, NM",HOU,"Houston, TX",759.0
SkyWest Airlines Inc.,SFO,"San Francisco, CA",MSN,"Madison, WI",1772.0
SkyWest Airlines Inc.,SFO,"San Francisco, CA",RDD,"Redding, CA",199.0
Endeavor Air Inc.,MSP,"Minneapolis, MN",IND,"Indianapolis, IN",503.0
Allegiant Air,VPS,"Valparaiso, FL",BLV,"Belleville, IL",587.0
Delta Air Lines Inc.,ROA,"Roanoke, VA",ATL,"Atlanta, GA",357.0
SkyWest Airlines Inc.,DEN,"Denver, CO",LAR,"Laramie, WY",113.0
SkyWest Airlines Inc.,EAR,"Kearney, NE",DEN,"Denver, CO",305.0
SkyWest Airlines Inc.,BTV,"Burlington, VT",ORD,"Chicago, IL",763.0
American Airlines Inc.,PHX,"Phoenix, AZ",MTJ,"Montrose/Delta, CO",419.0
SkyWest Airlines Inc.,DTW,"Detroit, MI",SBN,"South Bend, IN",157.0
American Airlines Inc.,BUF,"Buffalo, NY",DFW,"Dallas/Fort Worth, TX",1212.0
Endeavor Air Inc.,LFT,"Lafayette, LA",ATL,"Atlanta, GA",503.0
Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX",DRO,"Durango, CO",674.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",FAT,"Fresno, CA",1730.0
PSA Airlines Inc.,CAE,"Columbia, SC",DCA,"Washington, DC",408.0
Allegiant Air,SAT,"San Antonio, TX",SFB,"Sanford, FL",1042.0
Delta Air Lines Inc.,SEA,"Seattle, WA",IAD,"Washington, DC",2306.0
Allegiant Air,SFB,"Sanford, FL",PBG,"Plattsburgh, NY",1175.0
Spirit Air Lines,BNA,"Nashville, TN",EWR,"Newark, NJ",748.0
ExpressJet Airlines LLC d/b/a aha!,BTR,"Baton Rouge, LA",IAH,"Houston, TX",253.0
Republic Airline,LGA,"New York, NY",IND,"Indianapolis, IN",660.0
Delta Air Lines Inc.,MCI,"Kansas City, MO",DTW,"Detroit, MI",629.0
American Airlines Inc.,JFK,"New York, NY",SAT,"San Antonio, TX",1587.0
United Air Lines Inc.,DEN,"Denver, CO",FCA,"Kalispell, MT",752.0
United Air Lines Inc.,DEN,"Denver, CO",EWR,"Newark, NJ",1605.0
SkyWest Airlines Inc.,GTR,"Columbus, MS",ATL,"Atlanta, GA",241.0
Endeavor Air Inc.,CSG,"Columbus, GA",ATL,"Atlanta, GA",83.0
Southwest Airlines Co.,TPA,"Tampa, FL",HOU,"Houston, TX",781.0
United Air Lines Inc.,EWR,"Newark, NJ",IAD,"Washington, DC",212.0
Delta Air Lines Inc.,RSW,"Fort Myers, FL",MSP,"Minneapolis, MN",1416.0
United Air Lines Inc.,LAS,"Las Vegas, NV",CLE,"Cleveland, OH",1824.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",GGG,"Longview, TX",140.0
Mesa Airlines Inc.,XNA,"Fayetteville, AR",IAH,"Houston, TX",438.0
American Airlines Inc.,FCA,"Kalispell, MT",DFW,"Dallas/Fort Worth, TX",1390.0
Spirit Air Lines,ACY,"Atlantic City, NJ",MYR,"Myrtle Beach, SC",466.0
PSA Airlines Inc.,CLT,"Charlotte, NC",CID,"Cedar Rapids/Iowa City, IA",742.0
Envoy Air,ORD,"Chicago, IL",ABE,"Allentown/Bethlehem/Easton, PA",654.0
Southwest Airlines Co.,MDW,"Chicago, IL",IAD,"Washington, DC",577.0
SkyWest Airlines Inc.,DEN,"Denver, CO",BFL,"Bakersfield, CA",845.0
Envoy Air,ORD,"Chicago, IL",DAY,"Dayton, OH",240.0
Alaska Airlines Inc.,SAN,"San Diego, CA",STS,"Santa Rosa, CA",508.0
Frontier Airlines Inc.,MIA,"Miami, FL",DEN,"Denver, CO",1709.0
Alaska Airlines Inc.,PAE,"Everett, WA",LAS,"Las Vegas, NV",894.0
Southwest Airlines Co.,BNA,"Nashville, TN",JAX,"Jacksonville, FL",483.0
SkyWest Airlines Inc.,ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT",493.0
JetBlue Airways,FLL,"Fort Lauderdale, FL",HPN,"White Plains, NY",1097.0
Alaska Airlines Inc.,ANC,"Anchorage, AK",SCC,"Deadhorse, AK",626.0
Delta Air Lines Inc.,AUS,"Austin, TX",BOS,"Boston, MA",1698.0
Southwest Airlines Co.,BHM,"Birmingham, AL",DAL,"Dallas, TX",587.0
Southwest Airlines Co.,DAL,"Dallas, TX",SMF,"Sacramento, CA",1442.0
PSA Airlines Inc.,GSP,"Greer, SC",CLT,"Charlotte, NC",75.0
Alaska Airlines Inc.,PDX,"Portland, OR",SAN,"San Diego, CA",933.0
Allegiant Air,BOI,"Boise, ID",PSP,"Palm Springs, CA",672.0
American Airlines Inc.,CLT,"Charlotte, NC",JAC,"Jackson, WY",1685.0
Envoy Air,TYS,"Knoxville, TN",CLT,"Charlotte, NC",177.0
Endeavor Air Inc.,LGA,"New York, NY",GRR,"Grand Rapids, MI",618.0
Envoy Air,DCA,"Washington, DC",LIT,"Little Rock, AR",888.0
Spirit Air Lines,TPA,"Tampa, FL",CMH,"Columbus, OH",829.0
SkyWest Airlines Inc.,PHX,"Phoenix, AZ",ROW,"Roswell, NM",433.0
Republic Airline,ORD,"Chicago, IL",JAX,"Jacksonville, FL",864.0
Endeavor Air Inc.,TYS,"Knoxville, TN",LGA,"New York, NY",648.0
Southwest Airlines Co.,ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV",486.0
Mesa Airlines Inc.,IAD,"Washington, DC",DTW,"Detroit, MI",383.0
SkyWest Airlines Inc.,MKE,"Milwaukee, WI",DTW,"Detroit, MI",237.0
Allegiant Air,RFD,"Rockford, IL",AZA,"Phoenix, AZ",1373.0
Endeavor Air Inc.,LGA,"New York, NY",XNA,"Fayetteville, AR",1147.0
Republic Airline,BUF,"Buffalo, NY",CLT,"Charlotte, NC",546.0
Alaska Airlines Inc.,ADQ,"Kodiak, AK",ANC,"Anchorage, AK",253.0
SkyWest Airlines Inc.,SDF,"Louisville, KY",DEN,"Denver, CO",1024.0
American Airlines Inc.,PHX,"Phoenix, AZ",MSY,"New Orleans, LA",1300.0
Republic Airline,IAD,"Washington, DC",CVG,"Cincinnati, OH",388.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",MDT,"Harrisburg, PA",1231.0
Southwest Airlines Co.,DEN,"Denver, CO",RDU,"Raleigh/Durham, NC",1436.0
Republic Airline,LGA,"New York, NY",MEM,"Memphis, TN",963.0
ExpressJet Airlines LLC d/b/a aha!,LBB,"Lubbock, TX",IAH,"Houston, TX",458.0
JetBlue Airways,FLL,"Fort Lauderdale, FL",ALB,"Albany, NY",1204.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",MSO,"Missoula, MT",436.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",GPT,"Gulfport/Biloxi, MS",376.0
PSA Airlines Inc.,PHF,"Newport News/Williamsburg, VA",PHL,"Philadelphia, PA",201.0
SkyWest Airlines Inc.,HLN,"Helena, MT",DEN,"Denver, CO",594.0
American Airlines Inc.,CLT,"Charlotte, NC",TUL,"Tulsa, OK",842.0
Alaska Airlines Inc.,KOA,"Kona, HI",SEA,"Seattle, WA",2688.0
SkyWest Airlines Inc.,DTW,"Detroit, MI",ESC,"Escanaba, MI",306.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",PSC,"Pasco/Kennewick/Richland, WA",521.0
American Airlines Inc.,PHL,"Philadelphia, PA",PVD,"Providence, RI",237.0
Allegiant Air,RFD,"Rockford, IL",LAS,"Las Vegas, NV",1455.0
PSA Airlines Inc.,DCA,"Washington, DC",MYR,"Myrtle Beach, SC",372.0
Allegiant Air,PIE,"St. Petersburg, FL",SYR,"Syracuse, NY",1111.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",HSV,"Huntsville, AL",595.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",OMA,"Omaha, NE",821.0
PSA Airlines Inc.,HPN,"White Plains, NY",DCA,"Washington, DC",234.0
Allegiant Air,MEM,"Memphis, TN",FLL,"Fort Lauderdale, FL",851.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",FCA,"Kalispell, MT",1026.0
United Air Lines Inc.,ABQ,"Albuquerque, NM",ORD,"Chicago, IL",1118.0
Allegiant Air,BLV,"Belleville, IL",SFB,"Sanford, FL",835.0
SkyWest Airlines Inc.,DEN,"Denver, CO",CPR,"Casper, WY",230.0
Southwest Airlines Co.,CRP,"Corpus Christi, TX",HOU,"Houston, TX",187.0
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",SBP,"San Luis Obispo, CA",156.0
Southwest Airlines Co.,MDW,"Chicago, IL",BDL,"Hartford, CT",777.0
Southwest Airlines Co.,AUS,"Austin, TX",DCA,"Washington, DC",1315.0
Allegiant Air,MRY,"Monterey, CA",LAS,"Las Vegas, NV",375.0
Alaska Airlines Inc.,PDX,"Portland, OR",SNA,"Santa Ana, CA",859.0
American Airlines Inc.,CLT,"Charlotte, NC",MYR,"Myrtle Beach, SC",157.0
SkyWest Airlines Inc.,LWB,"Lewisburg, WV",IAD,"Washington, DC",176.0
Envoy Air,TYR,"Tyler, TX",DFW,"Dallas/Fort Worth, TX",102.0
Southwest Airlines Co.,MCO,"Orlando, FL",IND,"Indianapolis, IN",829.0
SkyWest Airlines Inc.,PAE,"Everett, WA",DEN,"Denver, CO",1036.0
Envoy Air,ORD,"Chicago, IL",BMI,"Bloomington/Normal, IL",116.0
Endeavor Air Inc.,ATL,"Atlanta, GA",ABE,"Allentown/Bethlehem/Easton, PA",692.0
Endeavor Air Inc.,ALB,"Albany, NY",LGA,"New York, NY",136.0
Southwest Airlines Co.,CMH,"Columbus, OH",RSW,"Fort Myers, FL",930.0
Republic Airline,EWR,"Newark, NJ",ROC,"Rochester, NY",246.0
Republic Airline,LGA,"New York, NY",ILM,"Wilmington, NC",500.0
Allegiant Air,FLL,"Fort Lauderdale, FL",PBG,"Plattsburgh, NY",1334.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",ALB,"Albany, NY",853.0
Alaska Airlines Inc.,OKC,"Oklahoma City, OK",SEA,"Seattle, WA",1519.0
Allegiant Air,BIS,"Bismarck/Mandan, ND",LAS,"Las Vegas, NV",1048.0
Allegiant Air,LEX,"Lexington, KY",PGD,"Punta Gorda, FL",781.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",BZN,"Bozeman, MT",1163.0
Mesa Airlines Inc.,SDF,"Louisville, KY",IAD,"Washington, DC",451.0
Mesa Airlines Inc.,PHX,"Phoenix, AZ",STS,"Santa Rosa, CA",699.0
Frontier Airlines Inc.,MSY,"New Orleans, LA",PHL,"Philadelphia, PA",1089.0
Allegiant Air,AUS,"Austin, TX",SNA,"Santa Ana, CA",1209.0
Allegiant Air,MDT,"Harrisburg, PA",BNA,"Nashville, TN",608.0
Frontier Airlines Inc.,CMH,"Columbus, OH",PBI,"West Palm Beach/Palm Beach, FL",932.0
SkyWest Airlines Inc.,IDA,"Idaho Falls, ID",DEN,"Denver, CO",458.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",PNS,"Pensacola, FL",489.0
Republic Airline,RIC,"Richmond, VA",MIA,"Miami, FL",825.0
United Air Lines Inc.,MCO,"Orlando, FL",CLE,"Cleveland, OH",895.0
Southwest Airlines Co.,PVD,"Providence, RI",FLL,"Fort Lauderdale, FL",1188.0
Allegiant Air,LCK,"Columbus, OH",SAV,"Savannah, GA",539.0
United Air Lines Inc.,SBA,"Santa Barbara, CA",ORD,"Chicago, IL",1803.0
Republic Airline,PHL,"Philadelphia, PA",SRQ,"Sarasota/Bradenton, FL",957.0
American Airlines Inc.,ANC,"Anchorage, AK",DFW,"Dallas/Fort Worth, TX",3043.0
SkyWest Airlines Inc.,DEN,"Denver, CO",EAR,"Kearney, NE",305.0
SkyWest Airlines Inc.,MSP,"Minneapolis, MN",FWA,"Fort Wayne, IN",488.0
Southwest Airlines Co.,FLL,"Fort Lauderdale, FL",HOU,"Houston, TX",957.0
Alaska Airlines Inc.,OGG,"Kahului, HI",SAN,"San Diego, CA",2541.0
United Air Lines Inc.,DEN,"Denver, CO",PIT,"Pittsburgh, PA",1290.0
Southwest Airlines Co.,SJC,"San Jose, CA",BUR,"Burbank, CA",296.0
Southwest Airlines Co.,STL,"St. Louis, MO",FLL,"Fort Lauderdale, FL",1057.0
Republic Airline,LGA,"New York, NY",SDF,"Louisville, KY",659.0
Alaska Airlines Inc.,IND,"Indianapolis, IN",SEA,"Seattle, WA",1866.0
Delta Air Lines Inc.,SJU,"San Juan, PR",MSP,"Minneapolis, MN",2404.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",HRL,"Harlingen/San Benito, TX",295.0
American Airlines Inc.,AUS,"Austin, TX",CLT,"Charlotte, NC",1032.0
Spirit Air Lines,PHL,"Philadelphia, PA",LAX,"Los Angeles, CA",2402.0
SkyWest Airlines Inc.,CMX,"Hancock/Houghton, MI",ORD,"Chicago, IL",360.0
Republic Airline,JAX,"Jacksonville, FL",DCA,"Washington, DC",634.0
Envoy Air,GJT,"Grand Junction, CO",DFW,"Dallas/Fort Worth, TX",773.0
Republic Airline,IND,"Indianapolis, IN",IAD,"Washington, DC",476.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",GRK,"Killeen, TX",166.0
Southwest Airlines Co.,STL,"St. Louis, MO",RDU,"Raleigh/Durham, NC",667.0
Southwest Airlines Co.,ABQ,"Albuquerque, NM",BWI,"Baltimore, MD",1670.0
Mesa Airlines Inc.,STS,"Santa Rosa, CA",PHX,"Phoenix, AZ",699.0
Envoy Air,SAV,"Savannah, GA",DFW,"Dallas/Fort Worth, TX",925.0
American Airlines Inc.,SAN,"San Diego, CA",PHL,"Philadelphia, PA",2370.0
Allegiant Air,SRQ,"Sarasota/Bradenton, FL",BOS,"Boston, MA",1220.0
Southwest Airlines Co.,CHS,"Charleston, SC",BWI,"Baltimore, MD",472.0
Southwest Airlines Co.,BWI,"Baltimore, MD",ALB,"Albany, NY",289.0
Endeavor Air Inc.,CVG,"Cincinnati, OH",AUS,"Austin, TX",958.0
Southwest Airlines Co.,BHM,"Birmingham, AL",LAS,"Las Vegas, NV",1618.0
SkyWest Airlines Inc.,GTF,"Great Falls, MT",DEN,"Denver, CO",623.0
SkyWest Airlines Inc.,PAH,"Paducah, KY",CGI,"Cape Girardeau, MO",45.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",HRL,"Harlingen/San Benito, TX",461.0
Frontier Airlines Inc.,ISP,"Islip, NY",MCO,"Orlando, FL",971.0
Allegiant Air,LAS,"Las Vegas, NV",CID,"Cedar Rapids/Iowa City, IA",1319.0
Southwest Airlines Co.,PHX,"Phoenix, AZ",MKE,"Milwaukee, WI",1460.0
Southwest Airlines Co.,BWI,"Baltimore, MD",SMF,"Sacramento, CA",2395.0
United Air Lines Inc.,ORD,"Chicago, IL",BTV,"Burlington, VT",763.0
SkyWest Airlines Inc.,JST,"Johnstown, PA",ORD,"Chicago, IL",487.0
SkyWest Airlines Inc.,MSP,"Minneapolis, MN",INL,"International Falls, MN",255.0
United Air Lines Inc.,PDX,"Portland, OR",EWR,"Newark, NJ",2434.0
Southwest Airlines Co.,SAV,"Savannah, GA",BNA,"Nashville, TN",417.0
Spirit Air Lines,MYR,"Myrtle Beach, SC",LBE,"Latrobe, PA",455.0
Alaska Airlines Inc.,HNL,"Honolulu, HI",SFO,"San Francisco, CA",2398.0
SkyWest Airlines Inc.,DDC,"Dodge City, KS",LBL,"Liberal, KS",74.0
Hawaiian Airlines Inc.,KOA,"Kona, HI",OGG,"Kahului, HI",84.0
Frontier Airlines Inc.,ISP,"Islip, NY",TPA,"Tampa, FL",1034.0
Republic Airline,LGA,"New York, NY",ORF,"Norfolk, VA",296.0
Southwest Airlines Co.,STL,"St. Louis, MO",CLE,"Cleveland, OH",487.0
Spirit Air Lines,MYR,"Myrtle Beach, SC",DTW,"Detroit, MI",636.0
Mesa Airlines Inc.,ELP,"El Paso, TX",IAH,"Houston, TX",667.0
Republic Airline,PHL,"Philadelphia, PA",MKE,"Milwaukee, WI",690.0
Endeavor Air Inc.,TYS,"Knoxville, TN",DTW,"Detroit, MI",443.0
United Air Lines Inc.,IAD,"Washington, DC",PHX,"Phoenix, AZ",1956.0
Allegiant Air,TOL,"Toledo, OH",SFB,"Sanford, FL",895.0
Envoy Air,BOS,"Boston, MA",ILM,"Wilmington, NC",672.0
Envoy Air,EVV,"Evansville, IN",DFW,"Dallas/Fort Worth, TX",642.0
Southwest Airlines Co.,IND,"Indianapolis, IN",MCI,"Kansas City, MO",451.0
Envoy Air,PVD,"Providence, RI",ORD,"Chicago, IL",849.0
Spirit Air Lines,MSY,"New Orleans, LA",LAS,"Las Vegas, NV",1500.0
Republic Airline,ORD,"Chicago, IL",EYW,"Key West, FL",1251.0
Delta Air Lines Inc.,BZN,"Bozeman, MT",MSP,"Minneapolis, MN",874.0
Spirit Air Lines,FLL,"Fort Lauderdale, FL",LAX,"Los Angeles, CA",2343.0
Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX",STS,"Santa Rosa, CA",1495.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",PBI,"West Palm Beach/Palm Beach, FL",1451.0
JetBlue Airways,JAX,"Jacksonville, FL",JFK,"New York, NY",828.0
United Air Lines Inc.,ORD,"Chicago, IL",SJU,"San Juan, PR",2072.0
Alaska Airlines Inc.,PSG,"Petersburg, AK",WRG,"Wrangell, AK",31.0
SkyWest Airlines Inc.,MSP,"Minneapolis, MN",XWA,"Williston, ND",553.0
SkyWest Airlines Inc.,SBP,"San Luis Obispo, CA",DEN,"Denver, CO",931.0
United Air Lines Inc.,MSY,"New Orleans, LA",SFO,"San Francisco, CA",1911.0
Envoy Air,TYS,"Knoxville, TN",DFW,"Dallas/Fort Worth, TX",771.0
Allegiant Air,MDT,"Harrisburg, PA",PGD,"Punta Gorda, FL",963.0
Envoy Air,OMA,"Omaha, NE",DFW,"Dallas/Fort Worth, TX",583.0
Alaska Airlines Inc.,ANC,"Anchorage, AK",CDV,"Cordova, AK",160.0
Frontier Airlines Inc.,MKE,"Milwaukee, WI",RSW,"Fort Myers, FL",1183.0
Southwest Airlines Co.,LAX,"Los Angeles, CA",MKE,"Milwaukee, WI",1756.0
SkyWest Airlines Inc.,SBA,"Santa Barbara, CA",PDX,"Portland, OR",784.0
American Airlines Inc.,PHX,"Phoenix, AZ",DSM,"Des Moines, IA",1149.0
ExpressJet Airlines LLC d/b/a aha!,ROC,"Rochester, NY",EWR,"Newark, NJ",246.0
Hawaiian Airlines Inc.,SAN,"San Diego, CA",HNL,"Honolulu, HI",2614.0
Republic Airline,DCA,"Washington, DC",MSY,"New Orleans, LA",969.0
SkyWest Airlines Inc.,SBP,"San Luis Obispo, CA",SEA,"Seattle, WA",847.0
Southwest Airlines Co.,TUL,"Tulsa, OK",DAL,"Dallas, TX",237.0
Southwest Airlines Co.,SJC,"San Jose, CA",GEG,"Spokane, WA",742.0
Frontier Airlines Inc.,MSY,"New Orleans, LA",SAT,"San Antonio, TX",494.0
SkyWest Airlines Inc.,CLE,"Cleveland, OH",DTW,"Detroit, MI",95.0
American Airlines Inc.,PIT,"Pittsburgh, PA",DFW,"Dallas/Fort Worth, TX",1067.0
Delta Air Lines Inc.,ELP,"El Paso, TX",ATL,"Atlanta, GA",1282.0
Delta Air Lines Inc.,MYR,"Myrtle Beach, SC",ATL,"Atlanta, GA",317.0
SkyWest Airlines Inc.,PRC,"Prescott, AZ",LAX,"Los Angeles, CA",346.0
Republic Airline,EWR,"Newark, NJ",BUF,"Buffalo, NY",282.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",BUF,"Buffalo, NY",735.0
Southwest Airlines Co.,ORF,"Norfolk, VA",MDW,"Chicago, IL",704.0
SkyWest Airlines Inc.,LIT,"Little Rock, AR",ORD,"Chicago, IL",552.0
Envoy Air,MHK,"Manhattan/Ft. Riley, KS",DFW,"Dallas/Fort Worth, TX",431.0
SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX",BIS,"Bismarck/Mandan, ND",977.0
Horizon Air,SEA,"Seattle, WA",BIL,"Billings, MT",664.0
Envoy Air,JAX,"Jacksonville, FL",AUS,"Austin, TX",954.0
United Air Lines Inc.,IAD,"Washington, DC",BDL,"Hartford, CT",325.0
Southwest Airlines Co.,ABQ,"Albuquerque, NM",MCI,"Kansas City, MO",718.0
JetBlue Airways,PVD,"Providence, RI",PBI,"West Palm Beach/Palm Beach, FL",1148.0
Alaska Airlines Inc.,HNL,"Honolulu, HI",PDX,"Portland, OR",2603.0
Allegiant Air,TYS,"Knoxville, TN",SFB,"Sanford, FL",511.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",CHS,"Charleston, SC",259.0
Endeavor Air Inc.,DSM,"Des Moines, IA",LGA,"New York, NY",1031.0
Alaska Airlines Inc.,CDV,"Cordova, AK",ANC,"Anchorage, AK",160.0
SkyWest Airlines Inc.,MTJ,"Montrose/Delta, CO",DEN,"Denver, CO",196.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",EAU,"Eau Claire, WI",269.0
SkyWest Airlines Inc.,IAH,"Houston, TX",DSM,"Des Moines, IA",802.0
Envoy Air,BMI,"Bloomington/Normal, IL",DFW,"Dallas/Fort Worth, TX",690.0
SkyWest Airlines Inc.,SBN,"South Bend, IN",ORD,"Chicago, IL",84.0
PSA Airlines Inc.,GSO,"Greensboro/High Point, NC",DCA,"Washington, DC",248.0
American Airlines Inc.,EGE,"Eagle, CO",MIA,"Miami, FL",1810.0
JetBlue Airways,LAS,"Las Vegas, NV",BOS,"Boston, MA",2381.0
Southwest Airlines Co.,MDW,"Chicago, IL",PIT,"Pittsburgh, PA",402.0
Allegiant Air,SBN,"South Bend, IN",PIE,"St. Petersburg, FL",973.0
Mesa Airlines Inc.,TUS,"Tucson, AZ",IAH,"Houston, TX",936.0
United Air Lines Inc.,EWR,"Newark, NJ",SNA,"Santa Ana, CA",2434.0
Alaska Airlines Inc.,FLL,"Fort Lauderdale, FL",SEA,"Seattle, WA",2717.0
United Air Lines Inc.,IAH,"Houston, TX",IAD,"Washington, DC",1190.0
United Air Lines Inc.,ANC,"Anchorage, AK",ORD,"Chicago, IL",2846.0
SkyWest Airlines Inc.,TYS,"Knoxville, TN",DEN,"Denver, CO",1162.0
United Air Lines Inc.,BWI,"Baltimore, MD",LAX,"Los Angeles, CA",2329.0
Southwest Airlines Co.,ONT,"Ontario, CA",SJC,"San Jose, CA",333.0
SkyWest Airlines Inc.,ATL,"Atlanta, GA",PIA,"Peoria, IL",565.0
Horizon Air,YKM,"Yakima, WA",SEA,"Seattle, WA",103.0
