AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX",ATL,"Atlanta, GA",731.0
Delta Air Lines Inc.,DTW,"Detroit, MI",SAN,"San Diego, CA",1956.0
American Airlines Inc.,ORD,"Chicago, IL",LAX,"Los Angeles, CA",1744.0
Southwest Airlines Co.,PHX,"Phoenix, AZ",OAK,"Oakland, CA",646.0
Delta Air Lines Inc.,GSO,"Greensboro/High Point, NC",ATL,"Atlanta, GA",306.0
Endeavor Air Inc.,ATL,"Atlanta, GA",BHM,"Birmingham, AL",134.0
SkyWest Airlines Inc.,MCI,"Kansas City, MO",PDX,"Portland, OR",1482.0
JetBlue Airways,EWR,"Newark, NJ",MCO,"Orlando, FL",937.0
American Airlines Inc.,PHL,"Philadelphia, PA",MCO,"Orlando, FL",861.0
United Air Lines Inc.,LAX,"Los Angeles, CA",EWR,"Newark, NJ",2454.0
Southwest Airlines Co.,ELP,"El Paso, TX",DAL,"Dallas, TX",562.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA",1464.0
Spirit Air Lines,DFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA",1235.0
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",MFR,"Medford, OR",630.0
Southwest Airlines Co.,BNA,"Nashville, TN",DEN,"Denver, CO",1014.0
Delta Air Lines Inc.,DEN,"Denver, CO",ATL,"Atlanta, GA",1199.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",RDU,"Raleigh/Durham, NC",980.0
American Airlines Inc.,LAX,"Los Angeles, CA",JFK,"New York, NY",2475.0
Republic Airline,SDF,"Louisville, KY",DTW,"Detroit, MI",306.0
Envoy Air,RDU,"Raleigh/Durham, NC",ORD,"Chicago, IL",646.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",MFE,"Mission/McAllen/Edinburg, TX",469.0
PSA Airlines Inc.,CLT,"Charlotte, NC",VPS,"Valparaiso, FL",460.0
JetBlue Airways,HPN,"White Plains, NY",TPA,"Tampa, FL",1032.0
Republic Airline,LGA,"New York, NY",DCA,"Washington, DC",214.0
American Airlines Inc.,CLT,"Charlotte, NC",ORF,"Norfolk, VA",290.0
United Air Lines Inc.,EWR,"Newark, NJ",ORD,"Chicago, IL",719.0
Horizon Air,SAN,"San Diego, CA",AUS,"Austin, TX",1164.0
American Airlines Inc.,SFO,"San Francisco, CA",CLT,"Charlotte, NC",2296.0
PSA Airlines Inc.,BHM,"Birmingham, AL",CLT,"Charlotte, NC",350.0
Southwest Airlines Co.,BWI,"Baltimore, MD",MIA,"Miami, FL",946.0
Southwest Airlines Co.,BOS,"Boston, MA",MDW,"Chicago, IL",861.0
Southwest Airlines Co.,SJC,"San Jose, CA",SAN,"San Diego, CA",417.0
Southwest Airlines Co.,PHX,"Phoenix, AZ",LAX,"Los Angeles, CA",370.0
Delta Air Lines Inc.,JFK,"New York, NY",TPA,"Tampa, FL",1005.0
SkyWest Airlines Inc.,ASE,"Aspen, CO",LAX,"Los Angeles, CA",737.0
Southwest Airlines Co.,HNL,"Honolulu, HI",KOA,"Kona, HI",163.0
Delta Air Lines Inc.,DCA,"Washington, DC",ATL,"Atlanta, GA",547.0
